CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime,ID
Case No. 1,0,2018-05-18 04:40:37,0,0,0
Case No. 1,0,2018-05-18 04:40:37,0,0,1
Case No. 1,1,2018-05-18 04:42:45,0,0,2
Case No. 1,2,2018-05-18 04:51:00,0,0,3
Case No. 1,3,2018-05-18 05:21:05,0,0,4
Case No. 1,4,2018-05-18 05:24:42,0,0,5
Case No. 1,5,2018-05-18 05:48:19,0,0,6
Case No. 1,6,2018-05-18 05:56:42,0,0,7
Case No. 1,7,2018-05-18 06:08:05,1,0,8
Case No. 1,8,2018-05-18 06:30:14,1,0,9
Case No. 1,6,2018-05-18 06:39:57,0,0,10
Case No. 1,7,2018-05-18 06:47:59,0,0,11
Case No. 1,6,2018-05-18 06:58:25,0,0,12
Case No. 1,9,2018-05-18 07:24:01,0,0,13
Case No. 1,6,2018-05-18 07:48:31,2,0,14
Case No. 1,6,2018-05-18 08:08:36,2,0,15
Case No. 1,9,2018-05-18 08:18:16,0,0,16
Case No. 1,7,2018-05-18 08:18:44,0,0,17
Case No. 2,0,2018-05-18 04:55:24,0,0,18
Case No. 2,1,2018-05-18 05:26:46,0,0,19
Case No. 2,2,2018-05-18 05:30:33,0,0,20
Case No. 2,3,2018-05-18 05:34:51,0,0,21
Case No. 2,4,2018-05-18 05:36:05,0,0,22
Case No. 2,5,2018-05-18 05:43:06,0,0,23
Case No. 2,7,2018-05-18 06:02:11,0,0,24
Case No. 2,9,2018-05-18 06:26:13,0,0,25
Case No. 2,6,2018-05-18 06:39:59,3,0,26
Case No. 2,9,2018-05-18 06:44:54,1,0,27
Case No. 2,6,2018-05-18 06:51:41,0,0,28
Case No. 2,6,2018-05-18 07:35:35,2,0,29
Case No. 2,6,2018-05-18 07:36:13,3,0,30
Case No. 2,9,2018-05-18 08:04:46,0,0,31
Case No. 2,7,2018-05-18 08:30:34,0,0,32
Case No. 3,10,2018-05-18 04:43:08,0,0,33
Case No. 3,11,2018-05-18 04:51:41,0,0,34
Case No. 3,12,2018-05-18 05:06:59,0,0,35
Case No. 3,13,2018-05-18 05:14:27,0,0,36
Case No. 3,14,2018-05-18 05:27:08,0,0,37
Case No. 3,15,2018-05-18 06:07:11,0,0,38
Case No. 3,16,2018-05-18 06:10:11,1,0,39
Case No. 3,13,2018-05-18 06:11:16,0,0,40
Case No. 3,14,2018-05-18 06:19:24,0,0,41
Case No. 3,15,2018-05-18 06:43:13,0,0,42
Case No. 3,17,2018-05-18 07:08:34,0,0,43
Case No. 3,18,2018-05-18 07:15:35,1,0,44
Case No. 3,18,2018-05-18 07:38:57,0,0,45
Case No. 3,18,2018-05-18 07:53:44,1,0,46
Case No. 3,18,2018-05-18 08:12:11,1,0,47
Case No. 3,18,2018-05-18 08:16:42,0,0,48
Case No. 3,17,2018-05-18 08:24:13,0,0,49
Case No. 4,10,2018-05-18 05:04:44,0,0,50
Case No. 4,11,2018-05-18 05:19:47,0,0,51
Case No. 4,12,2018-05-18 05:27:35,0,0,52
Case No. 4,13,2018-05-18 05:35:15,0,0,53
Case No. 4,14,2018-05-18 06:03:39,0,0,54
Case No. 4,15,2018-05-18 06:29:07,0,0,55
Case No. 4,7,2018-05-18 06:34:53,0,0,56
Case No. 4,9,2018-05-18 06:36:12,0,0,57
Case No. 4,18,2018-05-18 06:46:48,2,0,58
Case No. 4,18,2018-05-18 06:49:02,2,0,59
Case No. 4,18,2018-05-18 06:57:22,2,0,60
Case No. 4,9,2018-05-18 07:16:08,0,0,61
Case No. 4,18,2018-05-18 07:31:30,0,0,62
Case No. 4,18,2018-05-18 07:53:24,0,0,63
Case No. 4,7,2018-05-18 08:25:53,0,0,64
Case No. 5,19,2018-05-18 04:35:51,0,0,65
Case No. 5,20,2018-05-18 04:40:05,0,0,66
Case No. 5,21,2018-05-18 04:42:42,0,0,67
Case No. 5,22,2018-05-18 04:45:00,0,0,68
Case No. 5,23,2018-05-18 05:00:58,0,0,69
Case No. 5,24,2018-05-18 05:18:03,0,0,70
Case No. 5,25,2018-05-18 05:33:39,3,0,71
Case No. 5,26,2018-05-18 05:47:15,0,0,72
Case No. 5,26,2018-05-18 06:00:10,1,0,73
Case No. 5,26,2018-05-18 06:15:16,3,0,74
Case No. 5,26,2018-05-18 06:54:11,3,0,75
Case No. 5,26,2018-05-18 07:04:57,1,0,76
Case No. 5,26,2018-05-18 07:07:01,0,0,77
Case No. 5,26,2018-05-18 07:21:19,2,0,78
Case No. 5,26,2018-05-18 08:08:39,3,0,79
Case No. 5,26,2018-05-18 08:18:45,0,0,80
Case No. 5,25,2018-05-18 08:31:06,0,0,81
Case No. 6,0,2018-05-18 05:01:57,0,0,82
Case No. 6,1,2018-05-18 05:02:43,0,0,83
Case No. 6,2,2018-05-18 05:32:20,0,0,84
Case No. 6,3,2018-05-18 05:32:29,0,0,85
Case No. 6,4,2018-05-18 06:05:16,0,0,86
Case No. 6,5,2018-05-18 06:21:02,0,0,87
Case No. 6,7,2018-05-18 06:41:26,1,0,88
Case No. 6,9,2018-05-18 06:45:34,4,0,89
Case No. 6,9,2018-05-18 07:01:42,1,0,90
Case No. 6,6,2018-05-18 07:07:15,3,0,91
Case No. 6,6,2018-05-18 07:15:03,2,0,92
Case No. 6,6,2018-05-18 07:48:27,2,0,93
Case No. 6,9,2018-05-18 08:10:33,0,0,94
Case No. 6,7,2018-05-18 08:23:05,0,0,95
Case No. 7,27,2018-05-18 04:33:05,0,0,96
Case No. 7,28,2018-05-18 04:55:23,0,0,97
Case No. 7,29,2018-05-18 04:57:57,0,0,98
Case No. 7,30,2018-05-18 05:14:33,0,0,99
Case No. 7,31,2018-05-18 05:55:26,0,0,100
Case No. 7,32,2018-05-18 06:20:47,0,0,101
Case No. 7,32,2018-05-18 06:21:39,0,0,102
Case No. 7,33,2018-05-18 06:37:29,0,0,103
Case No. 7,33,2018-05-18 06:43:33,1,0,104
Case No. 7,33,2018-05-18 07:05:44,0,0,105
Case No. 7,33,2018-05-18 07:15:33,2,0,106
Case No. 7,33,2018-05-18 07:23:58,1,0,107
Case No. 7,33,2018-05-18 07:28:30,2,0,108
Case No. 7,33,2018-05-18 07:45:44,0,0,109
Case No. 7,34,2018-05-18 08:31:29,0,0,110
Case No. 8,19,2018-05-18 04:38:11,0,0,111
Case No. 8,20,2018-05-18 05:04:46,0,0,112
Case No. 8,21,2018-05-18 05:30:39,0,0,113
Case No. 8,22,2018-05-18 06:01:20,0,0,114
Case No. 8,23,2018-05-18 06:20:20,0,0,115
Case No. 8,24,2018-05-18 06:25:56,0,0,116
Case No. 8,7,2018-05-18 06:30:49,0,0,117
Case No. 8,9,2018-05-18 07:06:41,0,0,118
Case No. 8,26,2018-05-18 07:30:17,2,0,119
Case No. 8,9,2018-05-18 07:39:57,2,0,120
Case No. 8,26,2018-05-18 07:56:20,2,0,121
Case No. 8,26,2018-05-18 08:05:56,3,0,122
Case No. 8,26,2018-05-18 08:18:40,1,0,123
Case No. 8,26,2018-05-18 08:30:21,0,0,124
Case No. 8,7,2018-05-18 08:32:08,0,0,125
Case No. 9,0,2018-05-18 04:56:39,0,0,126
Case No. 9,6,2018-05-18 05:45:44,3,0,127
Case No. 9,7,2018-05-18 05:50:34,4,0,128
Case No. 9,8,2018-05-18 06:01:03,2,0,129
Case No. 9,5,2018-05-18 06:14:34,0,0,130
Case No. 9,4,2018-05-18 06:53:48,1,0,131
Case No. 9,2,2018-05-18 07:36:12,3,0,132
Case No. 9,1,2018-05-18 07:38:12,4,0,133
Case No. 9,3,2018-05-18 07:45:41,2,0,134
Case No. 9,6,2018-05-18 07:56:37,1,0,135
Case No. 9,9,2018-05-18 08:17:04,0,0,136
Case No. 9,7,2018-05-18 08:32:52,0,0,137
Case No. 10,10,2018-05-18 04:51:04,0,0,138
Case No. 10,11,2018-05-18 06:40:28,0,0,139
Case No. 10,12,2018-05-18 06:41:06,0,0,140
Case No. 10,13,2018-05-18 06:45:50,0,0,141
Case No. 10,14,2018-05-18 06:46:01,0,0,142
Case No. 10,15,2018-05-18 06:47:46,0,0,143
Case No. 10,7,2018-05-18 06:54:25,1,0,144
Case No. 10,9,2018-05-18 06:57:58,4,0,145
Case No. 10,9,2018-05-18 07:11:38,1,0,146
Case No. 10,9,2018-05-18 07:25:45,0,0,147
Case No. 10,18,2018-05-18 07:28:46,1,0,148
Case No. 10,18,2018-05-18 07:48:16,3,0,149
Case No. 10,18,2018-05-18 08:09:15,2,0,150
Case No. 10,7,2018-05-18 08:30:40,0,0,151
Case No. 11,35,2018-05-18 04:57:28,0,0,152
Case No. 11,36,2018-05-18 05:15:43,0,0,153
Case No. 11,37,2018-05-18 05:21:17,0,0,154
Case No. 11,38,2018-05-18 05:30:51,0,0,155
Case No. 11,39,2018-05-18 05:40:02,0,0,156
Case No. 11,40,2018-05-18 05:43:13,0,0,157
Case No. 11,41,2018-05-18 05:43:57,0,0,158
Case No. 11,40,2018-05-18 05:49:58,0,0,159
Case No. 11,42,2018-05-18 05:53:07,2,0,160
Case No. 11,41,2018-05-18 05:54:52,0,0,161
Case No. 11,42,2018-05-18 06:32:34,3,0,162
Case No. 11,43,2018-05-18 07:07:45,3,0,163
Case No. 11,42,2018-05-18 07:12:33,2,0,164
Case No. 11,42,2018-05-18 07:27:43,0,0,165
Case No. 11,43,2018-05-18 07:57:47,0,0,166
Case No. 12,27,2018-05-18 04:34:19,0,0,167
Case No. 12,28,2018-05-18 05:15:19,0,0,168
Case No. 12,29,2018-05-18 05:43:49,0,0,169
Case No. 12,30,2018-05-18 05:53:54,0,0,170
Case No. 12,31,2018-05-18 05:59:26,0,0,171
Case No. 12,32,2018-05-18 05:59:48,0,0,172
Case No. 12,7,2018-05-18 05:59:57,0,0,173
Case No. 12,9,2018-05-18 07:09:46,0,0,174
Case No. 12,33,2018-05-18 07:10:53,2,0,175
Case No. 12,33,2018-05-18 07:28:40,0,0,176
Case No. 12,33,2018-05-18 07:45:07,2,0,177
Case No. 12,9,2018-05-18 07:46:39,0,0,178
Case No. 12,33,2018-05-18 08:07:03,0,0,179
Case No. 12,33,2018-05-18 08:13:55,0,0,180
Case No. 12,7,2018-05-18 08:29:06,0,0,181
Case No. 13,0,2018-05-18 08:37:14,0,0,182
Case No. 13,1,2018-05-18 08:39:16,0,0,183
Case No. 13,2,2018-05-18 08:45:30,0,0,184
Case No. 13,3,2018-05-18 09:18:46,0,0,185
Case No. 13,4,2018-05-18 09:38:28,0,0,186
Case No. 13,5,2018-05-18 09:46:19,0,0,187
Case No. 13,6,2018-05-18 09:59:12,0,0,188
Case No. 13,7,2018-05-18 10:01:43,0,0,189
Case No. 13,9,2018-05-18 10:26:36,0,0,190
Case No. 13,8,2018-05-18 10:43:41,1,0,191
Case No. 13,8,2018-05-18 10:56:04,0,0,192
Case No. 13,8,2018-05-18 11:04:19,0,0,193
Case No. 13,9,2018-05-18 11:54:55,0,0,194
Case No. 13,7,2018-05-18 11:56:22,0,0,195
Case No. 13,7,2018-05-18 12:08:47,0,0,196
Case No. 13,9,2018-05-18 12:20:40,0,0,197
Case No. 13,9,2018-05-18 12:21:36,0,0,198
Case No. 14,35,2018-05-18 05:05:26,0,0,199
Case No. 14,36,2018-05-18 05:11:20,0,0,200
Case No. 14,37,2018-05-18 05:22:33,0,0,201
Case No. 14,38,2018-05-18 05:26:14,0,0,202
Case No. 14,39,2018-05-18 05:51:57,0,0,203
Case No. 14,40,2018-05-18 05:59:30,0,0,204
Case No. 14,7,2018-05-18 06:29:29,0,0,205
Case No. 14,9,2018-05-18 06:34:02,0,0,206
Case No. 14,43,2018-05-18 06:54:43,0,0,207
Case No. 14,42,2018-05-18 07:24:06,1,0,208
Case No. 14,42,2018-05-18 07:43:25,0,0,209
Case No. 14,43,2018-05-18 07:43:51,0,0,210
Case No. 14,42,2018-05-18 07:44:51,0,0,211
Case No. 14,42,2018-05-18 08:13:02,0,0,212
Case No. 14,7,2018-05-18 08:27:01,0,0,213
Case No. 15,10,2018-05-18 08:44:52,0,0,214
Case No. 15,11,2018-05-18 08:52:46,0,0,215
Case No. 15,12,2018-05-18 09:06:32,0,0,216
Case No. 15,13,2018-05-18 09:25:57,0,0,217
Case No. 15,14,2018-05-18 09:34:31,0,0,218
Case No. 15,15,2018-05-18 10:11:55,0,0,219
Case No. 15,17,2018-05-18 10:14:16,0,0,220
Case No. 15,16,2018-05-18 11:03:34,0,0,221
Case No. 15,17,2018-05-18 11:24:02,0,0,222
Case No. 15,17,2018-05-18 11:37:26,2,0,223
