CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime,ID
Case No. 1,0,2018-05-18 04:25:43,0,0,0
Case No. 1,0,2018-05-18 04:25:43,0,0,1
Case No. 1,1,2018-05-18 05:17:46,0,0,2
Case No. 1,2,2018-05-18 05:32:27,0,0,3
Case No. 1,3,2018-05-18 05:33:22,0,0,4
Case No. 1,4,2018-05-18 05:41:08,0,0,5
Case No. 1,5,2018-05-18 06:04:38,0,0,6
Case No. 1,6,2018-05-18 06:12:08,1,0,7
Case No. 1,6,2018-05-18 06:26:14,2,0,8
Case No. 1,6,2018-05-18 06:29:05,3,0,9
Case No. 1,6,2018-05-18 07:39:10,3,0,10
Case No. 1,7,2018-05-18 07:42:43,0,0,11
Case No. 1,8,2018-05-18 07:45:41,0,0,12
Case No. 2,0,2018-05-18 05:08:34,0,0,13
Case No. 2,1,2018-05-18 05:45:39,0,0,14
Case No. 2,2,2018-05-18 05:51:29,0,0,15
Case No. 2,3,2018-05-18 05:59:07,0,0,16
Case No. 2,4,2018-05-18 06:16:04,0,0,17
Case No. 2,5,2018-05-18 06:18:02,0,0,18
Case No. 2,7,2018-05-18 06:36:40,3,0,19
Case No. 2,6,2018-05-18 06:40:03,2,0,20
Case No. 2,6,2018-05-18 06:48:43,3,0,21
Case No. 2,6,2018-05-18 07:24:56,3,0,22
Case No. 2,7,2018-05-18 08:01:07,0,0,23
Case No. 2,8,2018-05-18 08:02:24,0,0,24
Case No. 3,9,2018-05-18 04:43:39,0,0,25
Case No. 3,10,2018-05-18 04:45:09,0,0,26
Case No. 3,11,2018-05-18 05:48:06,0,0,27
Case No. 3,12,2018-05-18 06:10:21,0,0,28
Case No. 3,13,2018-05-18 06:39:02,0,0,29
Case No. 3,14,2018-05-18 06:46:54,0,0,30
Case No. 3,6,2018-05-18 06:50:40,1,0,31
Case No. 3,15,2018-05-18 06:56:06,3,0,32
Case No. 3,6,2018-05-18 06:57:32,3,0,33
Case No. 3,6,2018-05-18 06:57:43,0,0,34
Case No. 3,6,2018-05-18 07:14:58,0,0,35
Case No. 3,15,2018-05-18 07:56:12,0,0,36
Case No. 4,9,2018-05-18 04:25:31,0,0,37
Case No. 4,10,2018-05-18 05:17:51,0,0,38
Case No. 4,11,2018-05-18 05:47:30,0,0,39
Case No. 4,12,2018-05-18 06:15:35,0,0,40
Case No. 4,13,2018-05-18 06:19:42,0,0,41
Case No. 4,14,2018-05-18 06:20:38,0,0,42
Case No. 4,7,2018-05-18 06:34:24,3,0,43
Case No. 4,16,2018-05-18 06:47:38,2,0,44
Case No. 4,7,2018-05-18 07:39:01,0,0,45
Case No. 4,7,2018-05-18 07:41:29,0,0,46
Case No. 4,16,2018-05-18 07:53:10,0,0,47
Case No. 4,7,2018-05-18 08:02:34,0,0,48
Case No. 5,17,2018-05-18 04:08:41,0,0,49
Case No. 5,18,2018-05-18 04:31:11,0,0,50
Case No. 5,19,2018-05-18 04:53:38,0,0,51
Case No. 5,20,2018-05-18 05:26:45,0,0,52
Case No. 5,21,2018-05-18 05:31:02,0,0,53
Case No. 5,22,2018-05-18 05:32:29,0,0,54
